time;logger;level;message;exception
2012-03-14 09:46:31.8240;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for Raven/DocumentsByEntityName, no indexing will be performed, updating to 00000000-0000-0100-0000-000000000004, 14.03.2012 08:46:31;
2012-03-14 09:46:31.8240;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 8, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:46:31.8360;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 9 because: WORK BY IndexingExecuter;
2012-03-14 09:46:31.8360;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 9, for: IndexingExecuter, will wait for additional work;
2012-03-14 09:46:31.8360;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 9, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:46:31.9320;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'items/33', update: False, ;
2012-03-14 09:46:31.9320;Raven.Database.DocumentDatabase;Debug;Put document items/33 with etag 00000000-0000-0100-0000-000000000005;
2012-03-14 09:46:31.9320;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 10 because: PUT items/33;
2012-03-14 09:46:31.9320;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands in 00:00:00.0154723;
2012-03-14 09:46:31.9320;Raven.Database.Server.HttpServer;Debug;Request #  52: POST    -    16 ms - <default>  - 200 - /bulk_docs;
2012-03-14 09:46:31.9320;Raven.Database.Server.HttpServer;Debug;"	PUT items/33
";
2012-03-14 09:46:31.9490;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0100-0000-000000000004;
2012-03-14 09:46:31.9490;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 1 documents remained;
2012-03-14 09:46:31.9490;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0100-0000-000000000004;
2012-03-14 09:46:31.9490;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: Raven/DocumentsByEntityName. (items/33);
2012-03-14 09:46:31.9490;Raven.Database.Indexing.Index.Indexing;Debug;"Indexing on items/33 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: items/33
	Tag I-: Items
	LastModified I-: 20120314084631931
";
2012-03-14 09:46:31.9620;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 10, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:46:31.9760;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for Raven/DocumentsByEntityName;
2012-03-14 09:46:31.9760;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 11 because: WORK BY IndexingExecuter;
2012-03-14 09:46:31.9910;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 11, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:46:31.9910;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 11, for: IndexingExecuter, will wait for additional work;
2012-03-14 09:46:32.9710;Raven.Database.Server.HttpServer;Debug;Request #  53: GET     -    66 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=-62481804;
2012-03-14 09:46:37.0210;Raven.Database.Server.HttpServer;Debug;Request #  54: GET     -    64 ms - <default>  - 200 - /stats?noCache=-1475891815;
2012-03-14 09:46:49.2830;Raven.Database.Server.HttpServer;Debug;Request #  55: GET     -    69 ms - <default>  - 200 - /stats?noCache=-1848950974;
2012-03-14 09:46:52.3050;Raven.Database.Server.HttpServer;Debug;Request #  56: GET     -    60 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=-1241292092;
2012-03-14 09:46:55.3230;Raven.Database.Server.HttpServer;Debug;Request #  57: GET     -    66 ms - <default>  - 200 - /stats?noCache=373628438;
2012-03-14 09:47:01.3890;Raven.Database.Server.HttpServer;Debug;Request #  58: GET     -    67 ms - <default>  - 200 - /stats?noCache=1532770596;
2012-03-14 09:47:07.4570;Raven.Database.Server.HttpServer;Debug;Request #  59: GET     -    70 ms - <default>  - 200 - /stats?noCache=50628353;
2012-03-14 09:47:31.8402;Raven.Database.Server.HttpServer;Debug;Request #  60: GET     -    69 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=161297451;
